Month of Order Date,Product Name,Sales
13-Jan,Xerox 1972,11
13-Jan,Xerox 1923,37
13-Jan,Xerox 225,19
13-Jan,Xerox 195,40
13-Jan,Wireless Extenders zBoost YX545 SOHO Signal Booster,756
13-Jan,"Wirebound Service Call Books, 5 1/2"" x 4""",19
13-Jan,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,11
13-Jan,Ultra Door Push Plate,15
13-Jan,Ultra Door Pull Handle,25
13-Jan,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",109
13-Jan,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56
13-Jan,Tennsco 6- and 18-Compartment Lockers,1326
13-Jan,Storex Dura Pro Binders,30
13-Jan,Staple envelope,35
13-Jan,Space Solutions HD Industrial Steel Shelving.,230
13-Jan,Southworth 25% Cotton Granite Paper & Envelopes,7
13-Jan,"Sauder Facets Collection Library, Sky Alder Finish",291
13-Jan,Sauder Cornerstone Collection Library,62
13-Jan,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",142
13-Jan,"SAFCO Commercial Wire Shelving, 72h",490
13-Jan,SAFCO Boltless Steel Shelving,273
13-Jan,Round Specialty Laser Printer Labels,30
13-Jan,Rogers Handheld Barrel Pencil Sharpener,5
13-Jan,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",17
13-Jan,Recycled Steel Personal File for Hanging File Folders,57
13-Jan,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",4
13-Jan,Plantronics S12 Corded Telephone Headset System,647
13-Jan,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,44
13-Jan,"O'Sullivan Elevations Bookcase, Cherry Finish",334
13-Jan,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181
13-Jan,Newell 351,23
13-Jan,Newell 327,7
13-Jan,Newell 312,9
13-Jan,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16
13-Jan,Memorex Micro Travel Drive 8 GB,31
13-Jan,Macally Suction Cup Mount,155
13-Jan,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,150
13-Jan,Jabra SPEAK 410,188
13-Jan,Ibico Hi-Tech Manual Binding System,610
13-Jan,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77
13-Jan,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",52
13-Jan,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1068
13-Jan,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",248
13-Jan,Global Highback Leather Tilter in Burgundy,546
13-Jan,Global Deluxe High-Back Manager's Chair,2574
13-Jan,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",63
13-Jan,GE 30524EE4,392
13-Jan,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32
13-Jan,GBC Standard Plastic Binding Systems Combs,4
13-Jan,GBC Linen Binding Covers,19
13-Jan,GBC DocuBind TL200 Manual Binding Machine,67
13-Jan,Fellowes Stor/Drawer Steel Plus Storage Drawers,573
13-Jan,Fellowes Mighty 8 Compact Surge Protector,65
13-Jan,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,67
13-Jan,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19
13-Jan,Eldon Image Series Black Desk Accessories,12
13-Jan,Eldon Fold 'N Roll Cart System,14
13-Jan,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",58
13-Jan,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,273
13-Jan,Dixon Ticonderoga Core-Lock Colored Pencils,36
13-Jan,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13
13-Jan,"DAX Value U-Channel Document Frames, Easel Back",10
13-Jan,DAX Black Cherry Wood-Tone Poster Frame,127
13-Jan,Brown Kraft Recycled Envelopes,51
13-Jan,Balt Split Level Computer Training Table,333
13-Jan,Avery Metallic Poly Binders,3
13-Jan,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20
13-Jan,Avery 508,12
13-Jan,Avery 482,3
13-Jan,AT&T 841000 Phone,124
13-Jan,Apple iPhone 5C,700
13-Jan,"Alliance Super-Size Bands, Assorted Sizes",31
13-Jan,"Alliance Big Bands Rubber Bands, 12/Pack",6
13-Jan,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19
13-Jan,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10
13-Jan,4009 Highlighters by Sanford,20
13-Jan,3-ring staple pack,6
13-Feb,Zebra Zazzle Fluorescent Highlighters,19
13-Feb,Xerox 220,19
13-Feb,Xerox 204,13
13-Feb,Wilson Jones Turn Tabs Binder Tool for Ring Binders,10
13-Feb,Wilson Jones Leather-Like Binders with DublLock Round Rings,17
13-Feb,Wilson Jones Easy Flow II Sheet Lifters,1
13-Feb,VariCap6 Expandable Binder,52
13-Feb,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",23
13-Feb,Surelock Post Binders,18
13-Feb,Staples in misc. colors,54
13-Feb,Staples,12
13-Feb,Staple-on labels,7
13-Feb,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",333
13-Feb,Pressboard Data Binders by Wilson Jones,21
13-Feb,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",33
13-Feb,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34
13-Feb,"Memo Book, 100 Message Capacity, 5 3/8î x 11î",16
13-Feb,Maxell DVD-RAM Discs,115
13-Feb,"Master Caster Door Stop, Large Brown",15
13-Feb,"Master Caster Door Stop, Brown",20
13-Feb,Logitech G600 MMO Gaming Mouse,240
13-Feb,Ibico Laser Imprintable Binding System Covers,84
13-Feb,Hon 2111 Invitation Series Corner Table,1256
13-Feb,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",8
13-Feb,"Global Value Mid-Back Manager's Chair, Gray",61
13-Feb,"Global Geo Office Task Chair, Gray",130
13-Feb,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17
13-Feb,GBC Standard Plastic Binding Systems Combs,9
13-Feb,GBC Recycled Grain Textured Covers,83
13-Feb,GBC Plastic Binding Combs,4
13-Feb,Fellowes Neat Ideas Storage Cubes,65
13-Feb,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62
13-Feb,Enermax Aurora Lite Keyboard,703
13-Feb,"DAX Copper Panel Document Frame, 5 x 7 Size",25
13-Feb,Compact Automatic Electric Letter Opener,239
13-Feb,Belkin 8 Outlet Surge Protector,82
13-Feb,"Avery Flip-Chart Easel Binder, Black",9
13-Feb,Avery Durable Poly Binders,13
13-Feb,Avery 483,15
13-Feb,Avery 480,15
13-Feb,AT&T CL82213,145
13-Feb,AT&T 17929 Lendline Telephone,181
13-Feb,Akro Stacking Bins,13
13-Feb,Acco Perma 4000 Stacking Storage Drawers,65
13-Feb,Aastra 57i VoIP phone,162
13-Mar,Zebra Zazzle Fluorescent Highlighters,19
13-Mar,Xerox 1972,11
13-Mar,Xerox 1971,3
13-Mar,Xerox 1967,16
13-Mar,Xerox 1966,5
13-Mar,Xerox 1963,8
13-Mar,Xerox 1957,13
13-Mar,Xerox 1951,74
13-Mar,Xerox 1926,35
13-Mar,Xerox 1919,123
13-Mar,Xerox 1918,155
13-Mar,Xerox 1909,127
13-Mar,Xerox 1891,98
13-Mar,Xerox 1889,132
13-Mar,Xerox 1887,91
13-Mar,Xerox 198,15
13-Mar,Xerox 195,21
13-Mar,Xerox 190,25
13-Mar,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",123
13-Mar,Wilson Jones Leather-Like Binders with DublLock Round Rings,28
13-Mar,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,53
13-Mar,Tennsco Commercial Shelving,16
13-Mar,Tennsco 6- and 18-Compartment Lockers,2493
13-Mar,Swingline SM12-08 MicroCut Jam Free Shredder,1280
13-Mar,Stockwell Push Pins,10
13-Mar,Sterilite Show Offs Storage Containers,16
13-Mar,Staples,19
13-Mar,Staple magnet,21
13-Mar,Staple envelope,11
13-Mar,Space Solutions Commercial Steel Shelving,129
13-Mar,"Southworth 100% R_sum_ Paper, 24lb.",109
13-Mar,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,19
13-Mar,Sensible Storage WireTech Storage Systems,355
13-Mar,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,6
13-Mar,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",11
13-Mar,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,66
13-Mar,Samsung Galaxy S4 Active,3500
13-Mar,Recycled Steel Personal File for Hanging File Folders,137
