Order ID,Order Date,Ship Date,Ship Mode,Profit,Quantity,Sales
CA-2011-100006,2013-09-07,2013-09-13,Standard Class,109.61,3,377.97
CA-2011-100090,2013-07-08,2013-07-12,Standard Class,-19.09,9,699.19
CA-2011-100293,2013-03-14,2013-03-18,Standard Class,31.87,6,91.06
CA-2011-100328,2013-01-28,2013-02-03,Standard Class,1.33,1,3.93
CA-2011-100363,2013-04-08,2013-04-15,Standard Class,7.72,5,21.38
CA-2011-100391,2013-05-25,2013-05-29,Standard Class,6.73,2,14.62
CA-2011-100678,2013-04-18,2013-04-22,Standard Class,61.79,11,697.07
CA-2011-100706,2013-12-16,2013-12-18,Second Class,17.72,8,129.44
CA-2011-100762,2013-11-24,2013-11-29,Standard Class,219.08,11,508.62
CA-2011-100860,2013-03-26,2013-03-30,Second Class,9.00,5,18.75
CA-2011-100867,2013-10-19,2013-10-24,Standard Class,20.10,6,321.55
CA-2011-100881,2013-03-28,2013-04-01,Standard Class,22.68,3,302.38
CA-2011-100895,2013-06-02,2013-06-06,Standard Class,176.93,7,605.47
CA-2011-100916,2013-10-21,2013-10-26,Standard Class,122.97,10,788.86
CA-2011-100972,2013-11-19,2013-11-24,Second Class,79.89,3,166.44
CA-2011-101147,2013-12-02,2013-12-04,First Class,-6.34,1,2.39
CA-2011-101175,2013-12-09,2013-12-14,Standard Class,-1.26,6,100.70
CA-2011-101266,2013-08-27,2013-08-30,Second Class,6.41,2,13.36
CA-2011-101364,2013-12-22,2013-12-26,Standard Class,100.14,13,296.71
CA-2011-101392,2013-12-07,2013-12-13,Standard Class,70.03,7,269.36
CA-2011-101427,2013-12-26,2013-12-30,Standard Class,1.10,3,8.02
CA-2011-101462,2013-04-20,2013-04-25,Standard Class,27.56,4,59.92
CA-2011-101476,2013-09-12,2013-09-13,First Class,30.10,1,69.99
CA-2011-101560,2013-11-28,2013-12-01,Second Class,110.84,19,542.34
CA-2011-101602,2013-12-15,2013-12-18,First Class,-30.96,8,803.96
CA-2011-101770,2013-03-31,2013-04-04,Standard Class,-1.31,1,1.87
CA-2011-101833,2013-11-17,2013-11-22,Second Class,17.22,3,34.44
CA-2011-101931,2013-10-28,2013-10-31,First Class,18.61,17,"1,252.60"
CA-2011-102008,2013-09-30,2013-10-04,Standard Class,24.47,1,48.94
CA-2011-102085,2013-10-04,2013-10-09,Standard Class,13.74,4,29.24
CA-2011-102274,2013-11-21,2013-11-26,Standard Class,323.13,13,865.50
CA-2011-102295,2013-11-24,2013-11-26,Second Class,-18.11,1,120.71
CA-2011-102330,2013-12-29,2014-01-03,Standard Class,80.40,10,408.77
CA-2011-102645,2013-01-23,2013-01-28,Standard Class,19.24,6,40.08
CA-2011-102652,2013-04-06,2013-04-12,Standard Class,64.51,13,199.99
CA-2011-102673,2013-11-01,2013-11-05,Standard Class,127.97,29,"1,044.44"
CA-2011-102869,2013-09-09,2013-09-14,Second Class,-26.01,13,233.24
CA-2011-102988,2013-04-05,2013-04-09,Second Class,112.27,22,"4,251.92"
CA-2011-103058,2013-07-23,2013-07-24,First Class,8.00,2,99.98
CA-2011-103086,2013-10-17,2013-10-19,Second Class,-1.59,2,5.31
CA-2011-103100,2013-12-20,2013-12-23,First Class,498.52,4,"1,107.66"
CA-2011-103191,2013-09-22,2013-09-27,Standard Class,-82.88,3,331.54
CA-2011-103219,2013-11-09,2013-11-13,Standard Class,21.48,9,56.52
CA-2011-103310,2013-05-10,2013-05-15,Standard Class,187.66,14,"1,769.78"
CA-2011-103317,2013-07-05,2013-07-08,First Class,14.49,10,242.55
CA-2011-103331,2013-08-26,2013-09-01,Standard Class,14.11,8,31.40
CA-2011-103366,2013-01-15,2013-01-17,First Class,65.98,5,149.95
CA-2011-103373,2013-05-18,2013-05-24,Standard Class,-168.96,2,779.80
CA-2011-103401,2013-11-21,2013-11-26,Standard Class,6.22,2,12.96
CA-2011-103429,2013-05-30,2013-06-01,First Class,239.36,14,765.49
CA-2011-103492,2013-10-10,2013-10-15,Standard Class,117.40,19,"1,488.77"
CA-2011-103527,2013-09-09,2013-09-14,Second Class,3.41,3,10.90
CA-2011-103590,2013-11-30,2013-12-04,Standard Class,29.27,4,62.28
CA-2011-103660,2013-08-25,2013-08-30,Standard Class,75.60,7,"1,007.94"
CA-2011-103702,2013-09-12,2013-09-17,Standard Class,-46.88,7,63.92
CA-2011-103744,2013-02-23,2013-02-27,Standard Class,-4.52,6,11.36
CA-2011-103800,2013-01-03,2013-01-07,Standard Class,5.55,2,16.45
CA-2011-103807,2013-12-02,2013-12-09,Standard Class,8.00,4,21.19
CA-2011-103849,2013-05-11,2013-05-16,Standard Class,-70.73,7,225.02
CA-2011-103940,2013-09-17,2013-09-21,Standard Class,77.18,12,260.79
CA-2011-103989,2013-03-19,2013-03-21,First Class,68.64,23,590.76
CA-2011-104178,2013-08-25,2013-08-29,Standard Class,58.70,14,176.14
CA-2011-104269,2013-03-01,2013-03-06,Second Class,51.48,2,457.57
CA-2011-104283,2013-06-27,2013-07-01,Standard Class,76.11,10,616.14
CA-2011-104402,2013-06-17,2013-06-23,Standard Class,31.01,3,65.97
CA-2011-104472,2013-06-02,2013-06-07,Standard Class,41.43,9,133.13
CA-2011-104563,2013-03-07,2013-03-12,Standard Class,85.51,18,"1,143.82"
CA-2011-104738,2013-12-30,2014-01-01,Second Class,63.25,13,609.61
CA-2011-104773,2013-12-08,2013-12-13,Standard Class,6.04,2,60.42
CA-2011-104780,2013-05-21,2013-05-25,Standard Class,10.51,8,31.84
CA-2011-104808,2013-02-04,2013-02-08,Second Class,6.04,2,17.25
CA-2011-104829,2013-11-18,2013-11-21,Second Class,9.89,7,21.98
CA-2011-104976,2013-12-09,2013-12-16,Standard Class,16.99,6,34.68
CA-2011-105165,2013-09-07,2013-09-10,First Class,-12.37,13,469.04
CA-2011-105172,2013-04-04,2013-04-09,Standard Class,9.07,6,18.90
CA-2011-105249,2013-11-28,2013-11-28,Same Day,15.18,10,460.09
CA-2011-105270,2013-11-11,2013-11-18,Standard Class,19.19,4,143.13
CA-2011-105340,2013-11-22,2013-11-25,First Class,-11.08,1,6.93
CA-2011-105417,2013-01-07,2013-01-12,Standard Class,-71.96,10,87.16
CA-2011-105648,2013-03-03,2013-03-07,Standard Class,-23.49,3,626.35
CA-2011-105872,2013-05-30,2013-06-06,Standard Class,26.39,4,70.37
CA-2011-105893,2013-11-11,2013-11-18,Standard Class,13.32,6,665.88
CA-2011-105984,2013-11-24,2013-11-24,Same Day,-244.91,8,"1,661.03"
CA-2011-106054,2013-01-06,2013-01-07,First Class,5.24,3,12.78
CA-2011-106229,2013-06-07,2013-06-11,Second Class,-209.77,3,268.94
CA-2011-106264,2013-12-26,2013-12-30,Standard Class,1.23,5,15.39
CA-2011-106376,2013-12-05,2013-12-10,Standard Class,174.29,12,"1,280.99"
CA-2011-106439,2013-10-31,2013-11-04,Standard Class,122.54,45,"1,007.94"
CA-2011-106572,2013-09-05,2013-09-10,Standard Class,19.82,2,264.32
CA-2011-106719,2013-08-24,2013-08-24,Same Day,2.69,2,8.29
CA-2011-106726,2013-12-06,2013-12-08,First Class,327.95,7,"1,261.33"
